drug_name_clean,COUNTY,STATE,COUNTY_CODE,median_cost,num_prices
Adalimumab,Bradford,PA,39130,3497.2695,1670
Adalimumab,Bradley,AR,04050,3497.2695,1183
Adalimumab,Bradley,TN,44050,3497.2695,1317
Adalimumab,Branch,MI,23110,3421.9999,1466
Adalimumab,Brantley,GA,11110,3497.2695,1272
Adalimumab,Braxton,WV,51030,3497.2695,1148
Adalimumab,Brazoria,TX,45180,3497.268,1489
Adalimumab,Brazos,TX,45190,3497.2695,1124
Adalimumab,Breathitt,KY,18120,3497.2695,1177
Adalimumab,Breckinridge,KY,18130,3497.2695,1269
Adalimumab,Bremer,IA,16080,3497.4004,909
Adalimumab,Brevard,FL,10040,3497.2695,1750
Adalimumab,Brewster,TX,45200,3482.4342,694
Adalimumab,Briscoe,TX,45201,3482.4342,837
Adalimumab,Bristol,MA,22020,3489.3245,1257
Adalimumab,Bristol,RI,41000,3519.3765,928
Adalimumab,Bristol,VA,49111,3589.8205,1098
Adalimumab,Bristol Bay,AK,02060,3497.4004,374
Adalimumab,Broadwater,MT,27030,3476.9952,764
Adalimumab,Bronx,NY,33020,3497.2695,1693
Adalimumab,Brooke,WV,51040,3497.3342000000002,1108
Adalimumab,Brookings,SD,43050,3492.9970000000003,834
Adalimumab,Brooks,GA,11120,3497.3989,1101
Adalimumab,Brooks,TX,45210,3497.268,984
Adalimumab,Broome,NY,33030,3497.4004,1307
Adalimumab,Broomfield,CO,06064,3497.1264,400
Adalimumab,Broomfield,CO,06630,3497.2695,1556
Adalimumab,Broward,FL,10050,3497.2695,2310
Adalimumab,Brown,IL,14040,3476.9952,1025
Adalimumab,Brown,IN,15060,3497.2695,1307
Adalimumab,Brown,KS,17060,3497.4004,640
Adalimumab,Brown,MN,24070,3489.5578,871
Adalimumab,Brown,NE,28080,3423.1354,431
Adalimumab,Brown,OH,36070,3497.2695,2155
Adalimumab,Brown,SD,43060,3482.4446,666
Adalimumab,Brown,TX,45220,3497.2695,668
Adalimumab,Brown,WI,52040,3497.2695,1200
Adalimumab,Brule,SD,43070,3423.1354,599
Adalimumab,Brunswick,NC,34090,3488.586,1203
Adalimumab,Brunswick,VA,49120,3571.314,1147
Adalimumab,Bryan,GA,11130,3497.2695,1572
Adalimumab,Bryan,OK,37060,3497.2695,955
Adalimumab,Buchanan,IA,16090,3497.4004,936
Adalimumab,Buchanan,MO,26100,3592.8683,764
Adalimumab,Buchanan,VA,49130,3597.1588,1053
Adalimumab,Buckingham,VA,49140,3585.7441,1120
Adalimumab,Bucks,PA,39140,3497.2695,1966
Adalimumab,Buena Vista,IA,16100,3497.3989,871
Adalimumab,Buena Vista,VA,49141,3597.1501,1190
Adalimumab,Buffalo,NE,28090,3497.2695,902
Adalimumab,Buffalo,SD,43080,3411.2292,547
Adalimumab,Buffalo,WI,52050,3561.5095,813
Adalimumab,Bullitt,KY,18140,3497.2695,1255
Adalimumab,Bulloch,GA,11140,3497.2695,1175
Adalimumab,Bullock,AL,01050,3497.2695,1063
Adalimumab,Buncombe,NC,34100,3497.2695,1802
Adalimumab,Bureau,IL,14050,3469.3903,1025
Adalimumab,Burke,GA,11150,3497.2695,1351
Adalimumab,Burke,NC,34110,3497.268,1582
Adalimumab,Burke,ND,35060,3411.2292,469
Adalimumab,Burleigh,ND,35070,3497.2695,928
Adalimumab,Burleson,TX,45221,3482.4417,949
Adalimumab,Burlington,NJ,31150,3497.2695,1343
Adalimumab,Burnet,TX,45222,3497.2695,1367
Adalimumab,Burnett,WI,52060,3497.4004,836
Adalimumab,Burt,NE,28100,3497.2695,923
Adalimumab,Butler,AL,01060,3497.2695,946
Adalimumab,Butler,IA,16110,3497.4004,949
Adalimumab,Butler,KS,17070,3504.6152,921
Adalimumab,Butler,KY,18150,3497.2695,1242
Adalimumab,Butler,MO,26110,3578.3475,875
Adalimumab,Butler,NE,28110,3497.2695,1010
Adalimumab,Butler,OH,36080,3497.2695,2434
Adalimumab,Butler,PA,39150,3497.2695,1969
Adalimumab,Butte,CA,05030,3406.0179,504
Adalimumab,Butte,ID,13110,3482.4342,412
Adalimumab,Butte,SD,43090,3482.4417,773
Adalimumab,Butts,GA,11160,3497.2695,1791
Adalimumab,Cabarrus,NC,34120,3497.2695,1614
Adalimumab,Cabell,WV,51050,3497.2695,1221
Adalimumab,Cabo Rojo,PR,40120,3520.6773,976
Adalimumab,Cabo Rojo,NA,40120,3540.87005,160
Adalimumab,Cache,UT,46020,3497.3989,807
Adalimumab,Caddo,LA,19080,3497.2695,1142
Adalimumab,Caddo,OK,37070,3497.2695,1118
Adalimumab,Caguas,PR,40130,3520.6773,950
Adalimumab,Caguas,NA,40130,3540.87005,160
Adalimumab,Calaveras,CA,05040,3445.1775,492
Adalimumab,Calcasieu,LA,19090,3497.2695,1064
Adalimumab,Caldwell,KY,18160,3497.2695,1138
